customer_id,company_name,contact_name,email,phone,address,city,state,zip_code,country,industry,company_size,created_date,status,lifetime_value,credit_limit,payment_terms,account_manager
45,"Hill, Martinez and Rhodes",William Cardenas,kellyroberts@miller.info,538.548.4219,833 Craig Isle,Garciaberg,AL,72636,DJ,Manufacturing,1000+,2023-06-18,Prospect,335111.99,332921.08,Net 45,Shirley Alvarez
46,"Gonzalez, Maynard and Morris",Susan Davis,amandasharp@gentry.biz,(306)772-4004,8872 Nelson Valleys Apt. 527,Jennifertown,WA,44686,KE,Government,51-200,2024-10-30,Prospect,206007.21,835387.92,Net 45,Cheryl Carr
47,"Prince, Wilcox and Robertson",Michael Lopez,thomasboyle@green.info,001-445-849-9045x30174,145 Jeffrey Dale Suite 279,Robertside,PW,62213,TW,Education,501-1000,2024-07-28,Churned,223869.1,221564.39,Net 60,Samantha Gill
48,"Fischer, Marks and Miller",Michael Miller,brownamy@harris.net,813.997.1870x728,740 Scott Alley,New Charles,NE,45659,ME,Finance,201-500,2020-07-17,Prospect,51226.66,952479.67,Net 30,Amy Shannon
49,Johnson-Ortiz,Pamela Good,ybrooks@kane-knox.biz,482-551-2868,47868 Morrow Gateway,Reedview,ID,95531,CG,Technology,1-50,2020-04-10,Inactive,492048.33,615161.23,Net 15,Jennifer Miranda
50,Allen Inc,Andrew Harper,sanchezbradley@young-robinson.com,(584)639-5995,836 Hill Point,Lake Erika,OH,65463,BE,Government,501-1000,2022-12-06,Churned,125772.3,659497.43,Net 15,Megan Floyd
51,Horton-Russell,Clinton Medina,melissaturner@thomas.biz,(588)226-3435x17518,9901 Linda Radial Apt. 735,Susantown,IL,25407,SZ,Government,51-200,2020-12-30,Inactive,403034.38,698952.66,Net 60,Nicole Rocha
52,"Munoz, Harris and Herman",Patricia James,,+1-954-745-8771,5609 Joyce Brook,Angelashire,OR,94874,NI,Other,51-200,2022-07-06,Churned,335450.98,988013.53,Net 45,Gary James
53,Porter Ltd,Gail Hines,plevy@henry.com,(287)228-0801,31203 Brooks River Suite 700,Smithhaven,VA,36511,SO,Government,1000+,2022-06-09,Churned,449118.01,746218.89,Net 60,Robert Craig
54,Rodriguez Inc,Daisy Harvey,lisa46@watson.info,001-833-941-0166,021 Bruce Rue,Arielville,MH,69727,BB,Manufacturing,1000+,2021-12-14,Churned,315240.48,281851.47,Net 15,Sean Clay
55,Nelson-Glass,Diana Daniels,whitemelissa@ali.com,001-761-242-9396x85621,3159 Novak Islands,Lake Joshuamouth,NM,30403,MK,Finance,51-200,2024-09-14,Inactive,119474.43,697010.31,Net 30,Jessica Frazier
56,"James, Barton and Phillips",Benjamin Adams,,(426)355-1104x7541,7888 Garcia Corners,Angelamouth,VI,50994,AL,Government,1-50,2022-06-25,Inactive,417281.13,395582.04,Net 15,Richard Hardy
57,"Stein, Spence and Armstrong",James Taylor,joseph21@hamilton.com,215.843.7993x7124,657 Jordan View Apt. 459,South Leon,MO,42331,JP,Technology,201-500,2024-03-05,Prospect,377970.19,854913.47,Net 60,Rachael Nguyen
58,Velasquez-Long,Justin Vargas,erinpierce@murray.com,001-916-972-4342x661,868 Krystal Lake Apt. 135,Lake Cheyenne,OK,85046,GD,Retail,501-1000,2023-05-26,Inactive,140102.98,490785.57,Net 60,Erin Hogan
59,Smith LLC,Paul Grant,seanmyers@chapman.com,914.761.1254x5738,77514 Lisa Crescent Apt. 512,New Greg,GA,43884,TJ,Healthcare,501-1000,2023-08-17,Inactive,490457.38,538782.39,Net 60,Crystal Sullivan
60,Lopez Ltd,Allen Mendez,shannonjordan@bush.com,001-719-818-2553x71478,155 Williamson Via Suite 991,West David,ME,15829,EG,Government,51-200,2023-03-05,Churned,94955.87,267554.75,Net 45,Kayla Barnes
61,Andrews Group,Mark Steele,angelaburns@lopez.org,9508723688,7721 Laura Forges Suite 043,Garymouth,OK,97824,SA,Government,201-500,2024-09-03,Churned,129874.41,91087.17,Net 15,Laura Adams
62,"Morrow, Richardson and Carson",Nathan Payne,pgarcia@evans.info,451-571-3395x962,95849 Mario Squares,Keithview,PR,67926,GD,Retail,1-50,2020-10-22,Active,378345.44,950115.62,Net 30,Paul Jenkins
63,Riddle Ltd,Sean Wright,maria67@ray.biz,(371)916-8457x7590,86363 Adams Village Suite 589,New Melissa,WY,45555,KZ,Other,1-50,2020-05-30,Inactive,235191.82,263681.26,Net 45,Mark Copeland
64,Martinez and Sons,Aaron Rubio,wendyblankenship@turner.com,+1-254-515-2064x3611,29387 Alan Junctions Apt. 627,East Patrickville,CT,41572,MN,Finance,51-200,2022-07-18,Prospect,58508.88,35421.64,Net 45,Raymond Mullins
65,May Ltd,Joseph Smith,scottbowen@goodman.info,711.421.9656,1389 Maxwell Spurs,Port Melanieport,IL,68363,UZ,Retail,1-50,2024-05-02,Inactive,55441.15,774756.08,Net 15,James Lucas
66,Simpson Inc,Mark Jones,hatfieldsarah@hughes.biz,(282)871-0910x430,866 Miller Plain Apt. 414,New Samanthaberg,ND,43328,MX,Government,201-500,2024-12-26,Active,255450.59,347818.86,Net 60,Sandra Becker
67,Collins Group,Sarah Brown,middletondarren@lynch.com,602-402-7588,41056 Warren Greens Apt. 778,Brianshire,GA,48694,DJ,Other,51-200,2022-03-03,Churned,92187.8,526529.28,Net 45,Stephanie Craig
68,Perez PLC,Scott Smith,ruizpatrick@white.net,001-263-453-6541x951,061 Cline Trail,Markside,NH,01545,MN,Other,501-1000,2021-09-15,Prospect,164540.77,253040.22,Net 15,Richard Stevenson
69,Marshall PLC,Yolanda Parsons,edwardrandolph@hall.com,206-541-3836x70241,571 William Route Suite 199,South Elaineberg,IA,38731,IL,Government,201-500,2022-09-05,Active,249681.72,331764.03,Net 60,Jenna Decker
70,Stewart-Nelson,Dale Chan,moorefrank@edwards-martinez.com,001-437-347-4112x49035,6804 Wilkins Extensions,South Melissaside,WA,72606,HU,Manufacturing,1000+,2020-10-21,Active,260730.49,199145.86,Net 30,Robert Taylor
71,Brown and Sons,Rodney Watson,aguilarjonathan@johnson.com,+1-972-215-1070x2966,625 Rebekah Harbor Suite 720,Lake Kenneth,MT,72680,QA,Other,501-1000,2020-07-08,Churned,397501.77,102122.82,Net 30,James Barnes
72,"Wilkerson, Fox and Mccoy",Rebecca Mayo,timothy75@shaw.com,+1-530-540-7859x321,039 Kelly Villages Apt. 239,Lindastad,PW,78038,AT,Education,501-1000,2022-12-28,Prospect,215624.39,748476.08,Net 45,Kristy Hart
73,Copeland Group,Casey Johnson,halljeffery@woods.com,325-700-2921x85156,2267 Thompson Points Suite 392,Parkerport,DC,23793,ZA,Retail,1-50,2020-01-06,Inactive,161196.23,745452.25,Net 30,Tiffany Myers
74,"Johnson, Guzman and Mccall",Connie Cunningham,vtaylor@young.com,+1-215-870-4331x5410,626 Macias Keys Suite 179,East Shannon,AS,04880,KE,Manufacturing,1-50,2020-03-03,Inactive,151642.0,367272.26,Net 45,Trevor Jones
75,Barron and Sons,Kimberly Villanueva,,859-497-0629,53368 Guerrero Hills,North Brandon,OK,72546,RW,Technology,1000+,2021-04-22,Prospect,350221.61,135016.7,Net 60,Aaron Miller
62,"Weber, Castillo and Davis",Mark Rowland,tanthony@ruiz-jacobson.com,286-625-6527,4349 Edward Square Apt. 158,Arellanoshire,IN,73062,BH,Other,201-500,2023-04-17,Inactive,482921.33,259953.61,Net 60,Jennifer Nichols
77,Armstrong-Young,James Nash,shawrachel@byrd.info,(523)432-0616,1168 Arnold Walks Suite 870,Rodriguezberg,FL,74765,TZ,Technology,51-200,2024-12-15,Inactive,406515.33,949634.39,Net 15,Teresa Buckley
78,"Chan, Floyd and Dillon",Sherry Baker,earmstrong@jackson.com,+1-796-606-5307x450,7132 Mccann Mills Suite 469,East Scottchester,WA,64000,PS,Retail,1000+,2024-05-23,Churned,228004.66,448293.79,Net 60,Samantha Robertson
79,Jones Ltd,Brandy York,thompsonnancy@hood.com,705.934.5786x103,79855 Mary Green Apt. 406,East Melissaborough,PR,29513,KH,Finance,51-200,2021-11-30,Inactive,135999.83,90375.59,Net 30,Debra Ortiz
80,Hancock Ltd,Thomas Holland,walkercharlene@marquez-fletcher.com,(765)674-3748x96910,171 Mcneil Route Suite 444,East Zachary,IA,07942,XX,Other,1000+,2023-06-09,Churned,149173.35,239161.47,Net 45,Melanie Griffith
81,"Jimenez, Phillips and Meadows",Norman Aguilar,matthewreeves@nichols.com,542.782.4172x48251,465 Green Hill,Yorkfort,AR,83652,TV,Manufacturing,1000+,2024-12-07,Inactive,215443.79,549116.75,Net 30,Andrea Preston
82,"Wilson, Becker and Moreno",Seth Hernandez,matthewbenitez@thomas-huffman.com,001-917-352-5007x43292,666 Sanford Lights,North Amandastad,AL,42734,TW,Healthcare,201-500,2024-07-07,Prospect,222380.96,474010.99,Net 45,Michael Sims
83,Perez LLC,Brian Gordon,gary04@bryant-meyer.net,262-457-5326x03323,0648 Brittney Causeway,Lake Maryton,UT,15677,NI,Other,501-1000,2023-10-12,Active,301028.15,890528.66,Net 45,Joshua Wells
74,Harris Ltd,Elizabeth Stanley,cindy26@hunt.com,411-273-9348x3564,75300 Rebecca Village Suite 218,Lake Jenniferview,SD,30799,PH,Technology,201-500,2022-07-08,Active,382738.96,183438.82,Net 60,Anthony Li
85,Phelps LLC,Emily Rodgers,yorkpamela@christian.com,857-994-1552x16674,212 Tina Vista Apt. 169,Phammouth,HI,80628,MU,Other,1-50,2023-01-19,Churned,177240.72,339975.31,Net 15,Shari Hobbs
86,"Mcpherson, Anderson and Knapp",Jason Williams,diana08@ray.com,489.916.3756x28900,17535 Williams Fork Suite 631,Wallaceshire,NV,12037,SB,Manufacturing,501-1000,2023-10-20,Active,230138.82,321371.99,Net 45,William Mcgee
87,Garcia Group,Joshua Petersen,pamela83@powers.com,375.389.9757,55488 Park Cape,South Donald,VT,97823,WS,Technology,1000+,2023-06-25,Churned,209557.55,195706.72,Net 45,Levi Lopez
88,Lewis-Summers,George Sherman,housemary@martinez.org,427.308.0869x78292,995 Barnes Rest Apt. 465,Shawnberg,DC,54600,UY,Technology,51-200,2024-05-10,Prospect,276863.72,928396.03,Net 60,Michael Valencia
89,"Doyle, Spencer and Robinson",Miguel Parks,tinasantos@gordon.com,001-315-287-9968x460,00342 Vega Drive Apt. 438,West Lisaville,RI,89043,XX,Retail,51-200,2024-10-11,Prospect,277665.31,556728.89,Net 15,Natalie Hoffman
90,Dixon Ltd,Matthew House,ybutler@edwards.com,597.635.9893,12281 Williams Harbors Suite 229,Adammouth,VT,20791,BB,Finance,51-200,2021-04-22,Churned,466663.26,298942.94,Net 45,Linda Ayala
91,"Gilbert, Stanley and Henry",Heather Bowers,alicia28@hartman.biz,+1-786-615-3355,878 Danny Key,Allenbury,AZ,89964,LI,Other,1000+,2023-03-30,Inactive,194875.08,922649.47,Net 30,Theresa Cruz
92,"Ramsey, Johnson and Black",Kayla Hicks,pwilliams@flores.com,(588)801-3361,207 Johnson Cliffs,East Lauraside,CA,75862,GT,Government,201-500,2022-03-14,Prospect,411171.99,290010.59,Net 45,Jerry Sullivan
93,Smith-Nunez,Margaret Montgomery,haynescharles@rodriguez.com,476-660-7283x2684,88210 Ashley Lock Apt. 435,South Rebecca,PR,67682,CV,Healthcare,501-1000,2021-05-15,Churned,175836.35,556398.24,Net 60,Luis King
94,White PLC,Sarah Randolph,enewman@powers-king.com,001-997-955-2314x9135,492 Aguirre Meadow Apt. 053,Lake Jodi,NE,36765,ML,Retail,1000+,2021-02-21,Churned,120613.41,777789.03,Net 15,Erin Castillo
95,Howard-Torres,Casey Obrien,michele28@baker.com,001-910-480-9969x3084,3942 Mason Course Suite 580,Port Tamara,RI,90175,DM,Government,501-1000,2024-05-16,Inactive,250187.68,46649.42,Net 45,Christopher Knight
96,"Hopkins, Faulkner and Fitzgerald",Mr. Daniel Freeman,bakerjim@clark.info,800.851.8449x892,184 Kaufman Fork Suite 557,Eatontown,NY,18715,OM,Other,1-50,2021-05-29,Inactive,207939.42,658233.51,Net 30,Jose Campbell
97,Lopez LLC,Ruth Guerrero,,(451)477-7392x60302,202 Nielsen Path,Greeneshire,SC,02941,WS,Government,1-50,2022-05-30,Prospect,426908.96,860748.76,Net 60,Claire Obrien
98,Dillon-Jackson,Lindsay Norton,cindydixon@ramsey.info,+1-891-436-6210x388,79908 Christopher Shoals,New Amber,AL,89441,CF,Other,1000+,2023-09-02,Active,310642.43,242422.54,Net 45,Jacqueline Williams
99,"Patterson, Mays and Olson",Hayley Ballard,colemanjonathan@kent.com,+1-886-543-0098x180,5126 Green Plain Suite 959,Victoriafurt,WV,27199,NG,Finance,1-50,2024-09-11,Churned,87350.57,306471.42,Net 15,Karen Wood
100,"Webb, Hinton and Lane",Jennifer Taylor,,+1-813-272-1386x58902,79611 Walker Common,Lake Patrickfurt,RI,86507,SK,Education,501-1000,2022-06-09,Inactive,125877.73,417931.23,Net 30,Linda Bautista
101,Bowman Group,Samuel Galvan,james98@hale.com,502.214.6566,84895 Richmond Harbor,New Sylvia,NH,53448,TR,Retail,501-1000,2020-01-15,Inactive,119933.28,641525.58,Net 60,Jason Rodriguez
37,Gordon LLC,Regina Frye,heather69@carrillo-todd.info,+1-279-607-1416x33565,1651 Thomas Knoll,New Joseph,WA,90037,ET,Healthcare,1-50,2024-03-30,Churned,472891.64,987775.18,Net 45,Cynthia Allen
103,Clark-Harris,Luke Moore,wilsonchristian@vasquez.com,459.257.9472x8463,8085 Dalton Trail Apt. 718,Stewarttown,AL,88857,GE,Manufacturing,51-200,2023-03-24,Churned,427401.05,115586.73,Net 60,Erika Salazar
104,Lopez-Baker,Tyler Cooper,victorclark@goodwin.info,(892)893-1438,27026 Taylor Vista,Kristenport,KS,74181,TN,Manufacturing,1-50,2020-05-28,Churned,140867.79,570269.73,Net 15,Michael Brown
105,Woods-Soto,George Ward,maurice61@dillon-mccarty.com,001-998-324-5587,472 Danielle Junction Suite 996,North Fernandobury,MD,42034,TD,Manufacturing,51-200,2022-06-24,Prospect,113407.25,198230.67,Net 45,Lisa Foster
106,Norman-Mcmillan,Kelly Cole,ivanjohnson@young.com,226.811.1780,49216 Perez Street,Scottberg,DC,69542,DO,Healthcare,1-50,2020-03-29,Active,157921.78,446414.96,Net 45,Howard Herman
107,Mcdonald-Pitts,Kimberly Taylor,brittanybryant@fields.net,257-283-1745x6424,4780 Arroyo Neck,Albertchester,AS,38894,UG,Government,51-200,2021-12-19,Inactive,70419.1,544013.68,Net 45,Kimberly Lopez
108,"Kim, Wright and Espinoza",Sandra Walker,hendersonjohn@aguirre.net,963-512-2417x974,20802 Julian Crossroad Suite 031,North Tristan,MA,55583,KR,Manufacturing,501-1000,2024-03-28,Prospect,374546.88,345328.1,Net 15,Mrs. Raven Rivera DVM
109,Brown Group,John Lee,lisa01@wright.com,471.283.7645,7435 Michelle Forge,East Cynthiamouth,AL,22437,IS,Retail,501-1000,2024-12-21,Prospect,49699.92,400628.81,Net 45,Richard Smith
110,Perkins Ltd,Kyle Watson,wrightvincent@montgomery.com,7529812735,65240 Mann Points,Amyfort,ID,74779,ER,Manufacturing,1000+,2024-08-15,Churned,412096.56,940888.97,Net 15,Nicholas Hill
111,"Rocha, Spencer and Jones",Edward Baker,shawn86@lopez.org,451.686.3878,5118 Bradley Curve Apt. 031,Leeton,OK,84616,MW,Education,1000+,2024-03-02,Inactive,325587.93,639049.88,Net 60,Meredith Scott
112,Walker-Robbins,Thomas Rios,mcdonalddanielle@grant-hurley.biz,(309)548-0141x381,38392 Reese Trafficway Suite 761,Port Henry,MO,66652,LU,Healthcare,1-50,2021-05-06,Active,155660.47,497698.37,Net 15,Lindsay Mahoney
113,Pierce-Shea,Jennifer Schultz,charlene98@brooks.com,(277)660-0490x824,50488 Clinton Mount,Ericview,MN,76805,HU,Education,1000+,2021-12-24,Churned,295733.47,729333.16,Net 60,Eric Duncan
114,"Hardin, Navarro and Cummings",Carrie Petersen,larsonkevin@stokes.com,(766)413-9060x480,320 Maddox Terrace Apt. 364,Hernandezmouth,CO,62872,TO,Manufacturing,1-50,2020-06-02,Prospect,112548.49,450248.9,Net 30,Deborah Ross
115,Ayala-Anderson,Justin Freeman,annshea@sanchez.com,+1-491-716-6553x55904,270 James Landing Apt. 110,New Sara,VI,38208,AL,Education,1-50,2022-12-02,Churned,141561.31,968524.81,Net 60,Ashley Cole
116,Rivera Ltd,Christina Mills,,287-692-0698x042,940 Pena Branch,South Donnastad,VI,14642,AM,Technology,1-50,2022-06-27,Prospect,125566.6,134664.65,Net 30,Marie Hall
117,Romero-Mckinney,Kari Harper,,623-787-8003,2055 Garrett Freeway Suite 046,New Stacybury,FL,45299,MX,Retail,51-200,2021-03-02,Prospect,388312.45,790757.32,Net 15,James Yu
118,"Salas, Parks and Butler",Jessica Edwards,shane23@taylor.com,782-462-9251x8812,6647 Hernandez Field,East Jackview,PA,74824,VA,Manufacturing,51-200,2021-12-18,Active,332223.53,35522.35,Net 15,Crystal Johnson
119,Watts Group,Ryan Harrison,jack67@taylor-lee.com,(504)863-3312x79757,96569 Abigail Mission Suite 038,Terrellton,OH,51278,SI,Technology,51-200,2020-06-02,Prospect,30937.51,744300.88,Net 15,Jeffrey Wilkerson
120,Murray-Henderson,Amy Black,stevenlucas@sharp.com,001-398-626-6570x27937,211 Jasmin Roads Suite 186,South Andrea,AZ,22899,LT,Finance,501-1000,2024-10-22,Inactive,472980.74,52931.39,Net 45,Shari Martin
